prot_vocab_size,attn_heads,attn_layers,lin_dims,latent_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,weave,gconv,ecfp8,score
8319,8,1,"[2048, 911, 64]",256,5,0.1,256,128,128,adam,0.00016805292000620113,0.0001,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.30903629512331166
8319,8,1,"[1347, 1346, 193]",256,5,0.1,256,128,128,adam,0.00031935895331242135,0.0001,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.29787110879349926
8319,8,1,"[1937, 445, 64]",256,5,0.1,256,128,128,adam,0.0001,0.0001,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 487},{'dim': 1024},0.29719469647515634
8319,1,1,"[2048, 185, 719]",256,5,0.1,256,128,128,adam,0.00021408593793801576,0.0001,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.2964099751481829
8319,8,1,"[2048, 318]",256,5,0.1,256,128,128,adam,0.0001,0.0001,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 274},{'dim': 1024},0.2923302443876423
8319,8,1,"[516, 400, 1093]",512,5,0.1,256,128,128,adamax,0.002977270614597204,0.0010821491761900267,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 275},{'dim': 1024},0.2842440075759963
8319,8,1,"[2048, 336, 64]",128,5,0.1,256,128,128,adam,0.0003741395112532416,0.0001,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.2794892288900971
8319,1,1,"[877, 360]",512,5,0.1,256,128,128,adamax,0.0013378018118255005,0.0013820819763798264,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 227},{'dim': 1024},0.27731959981131415
8319,1,1,"[2048, 106, 64]",256,5,0.1,256,128,128,adam,0.0010862563996151214,0.0006201016849542281,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.2646249704683518
8319,16,1,"[633, 1381, 1075]",128,5,0.1,256,128,128,adam,0.00018023686479165196,0.0001071280605082823,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.2636565148289499
8319,8,1,"[726, 1310, 64]",256,5,0.1,128,128,128,adam,0.0001,0.0001,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.23903202432766632
8319,8,1,"[404, 512, 672]",512,5,0.1,256,128,128,adamax,0.026056357804396055,0.0009331286568084248,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.22906824127288086
8319,2,1,"[1625, 1022, 1082]",64,5,0.1,128,128,128,adamax,0.0035346386128593727,0.0009215610542543483,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 384},{'dim': 1024},0.20674296972294545
8319,16,1,"[64, 344, 521]",256,5,0.1,128,128,128,adamax,0.002167740181529464,0.0010229079863243093,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.20428700922143142
8319,8,1,"[2048, 536, 64]",256,5,0.1,256,128,128,adagrad,0.00023907069071081209,0.0003376707319674963,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 291},{'dim': 1024},0.19523774017253803
8319,8,1,"[2048, 1683, 1577]",256,5,0.2627666848780904,128,128,128,adamax,0.0001,0.0015284213846207637,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 64},{'dim': 1024},0.14439982750678065
8319,4,1,"[536, 1532]",512,5,0.1,128,128,128,adamax,0.006595020261202274,0.0022109963328252823,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 430},{'dim': 1024},0.13277004072071305
8319,8,1,[79],64,5,0.2782486319935109,256,128,128,adamax,0.0013956989820831532,0.0010450069823579463,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 243},{'dim': 1024},0.130308773849717
8319,8,1,"[1849, 702, 1595]",256,5,0.3162505746266199,128,128,128,adamax,0.0001538782648168907,0.00037556384342292534,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 227},{'dim': 1024},0.10119138277352342
8319,8,1,"[2048, 2048]",256,5,0.43565398719138915,128,128,128,adamax,0.0001,0.0006042731173082493,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 64},{'dim': 1024},0.07735504727251603
8319,8,1,[64],256,5,0.1,128,128,128,adam,0.0037758085086283116,0.0011033637282291454,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.0663690664474675
8319,8,2,"[937, 230]",128,5,0.2191121990961784,128,128,128,adamax,0.0026972156768672647,0.0046648726500116405,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 357},{'dim': 1024},0.05034157342100311
8319,2,1,[64],64,5,0.1,64,128,128,adam,0.0001,0.0001,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.029371109599977945
8319,8,1,[64],64,5,0.1,64,128,128,adamax,0.003664855474247722,0.0004488276400245119,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 194},{'dim': 1024},0.021545647656116343
8319,8,2,"[937, 230]",128,5,0.2191121990961784,128,128,128,adamax,0.0026972156768672647,0.0046648726500116405,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 357},{'dim': 1024},0.011116534285583663
8319,4,1,[64],256,5,0.31534507773794834,64,128,128,adam,0.0012326116309892248,0.0001,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 391},{'dim': 1024},0.006371590626802249
8319,1,1,"[85, 1263, 111]",256,5,0.1,128,128,128,adam,1.0,0.0001,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 195},{'dim': 1024},-0.01788310870235752
8319,1,1,"[1558, 1843, 2027]",512,5,0.3818186260100911,64,128,128,adamax,0.0035781292142108225,0.0019350929449457295,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 437},{'dim': 1024},-0.02807929691562236
8319,8,1,"[589, 64]",128,5,0.1,128,128,128,adamax,0.0001,0.015067024011023961,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 512},{'dim': 1024},-0.02988138296669671
8319,8,1,"[1532, 345, 64]",512,5,0.1,256,128,128,adamax,0.4845210182106556,0.0008394058509515755,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 512},{'dim': 1024},-0.1310650838082027
8319,2,3,"[757, 1138]",128,5,0.21835061008820203,128,128,128,adamax,0.011761824861516251,0.0025595717862307707,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 347},{'dim': 1024},-0.1803986435614356
8319,2,3,"[757, 1138]",128,5,0.21835061008820203,128,128,128,adamax,0.011761824861516251,0.0025595717862307707,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 347},{'dim': 1024},-0.30670432607970305
8319,4,1,"[64, 64]",64,5,0.5,256,128,128,adamax,1.0,1.0,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 512},{'dim': 1024},-0.3585687082951351
8319,8,2,"[2048, 1432]",128,5,0.5,128,128,128,adamax,0.00046139075634417696,0.0001,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421}",{'update_pairs': False},{'dim': 64},{'dim': 1024},-0.372164228918862
