prot_vocab_size,attn_heads,proj_out_dim,lin_hdims,kaiming_constant,weighted_loss,dprob,neigh_dist,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,weave,gconv,ecfp8,score
8319,"[2, 3, 3]",1634,[81],5,0.29644757337303895,0.4120111047648317,2,256,128,128,adagrad,0.0037022869206988418,0.002358913764815064,"{'model_type': 'Identity', 'in_dim': 8421, 'dim': 239}","{'dim': 128, 'update_pairs': False}",{'dim': 128},{'dim': 1024},0.31511926586639644
8319,"[2, 2, 3]",1374,"[354, 652]",5,0.3523904495417951,0.13684197597803008,1,64,128,128,adam,0.0004133604938397395,0.00020339764639159505,"{'model_type': 'Identity', 'in_dim': 8421, 'dim': 1423}","{'dim': 128, 'update_pairs': False}",{'dim': 256},{'dim': 1024},0.19494734102759825
8319,"[2, 2, 3]",1374,"[354, 652]",5,0.3523904495417951,0.13684197597803008,1,64,128,128,adam,0.0004133604938397395,0.00020339764639159505,"{'model_type': 'Identity', 'in_dim': 8421, 'dim': 1423}","{'dim': 128, 'update_pairs': False}",{'dim': 256},{'dim': 1024},0.16600643114313393
8319,"[2, 2, 3]",1374,"[354, 652]",5,0.3523904495417951,0.13684197597803008,1,64,128,128,adam,0.0004133604938397395,0.00020339764639159505,"{'model_type': 'Identity', 'in_dim': 8421, 'dim': 1423}","{'dim': 128, 'update_pairs': False}",{'dim': 256},{'dim': 1024},0.16227839768232144
8319,"[2, 3, 3]",1634,[81],5,0.29644757337303895,0.4120111047648317,2,256,128,128,adagrad,0.0037022869206988418,0.002358913764815064,"{'model_type': 'Identity', 'in_dim': 8421, 'dim': 239}","{'dim': 128, 'update_pairs': False}",{'dim': 128},{'dim': 1024},0.0550694019784581
8319,"[1, 3]",1901,"[218, 784]",5,0.22101978158141816,0.29892351452954474,8,256,128,128,adadelta,0.008553366021440334,0.8754657140659087,"{'model_type': 'Identity', 'in_dim': 8421, 'dim': 665}","{'dim': 128, 'update_pairs': False}",{'dim': 256},{'dim': 1024},0.012312702970121065
8319,"[1, 3]",1901,"[218, 784]",5,0.22101978158141816,0.29892351452954474,8,256,128,128,adadelta,0.008553366021440334,0.8754657140659087,"{'model_type': 'Identity', 'in_dim': 8421, 'dim': 665}","{'dim': 128, 'update_pairs': False}",{'dim': 256},{'dim': 1024},0.01025137715714242
8319,"[2, 1]",1751,"[673, 626]",5,0.46795305010183286,0.3621390012065816,14,64,128,128,adadelta,0.012023768675330369,0.40517765877631273,"{'model_type': 'Identity', 'in_dim': 8421, 'dim': 1105}","{'dim': 128, 'update_pairs': False}",{'dim': 256},{'dim': 1024},-0.03546523215075006
8319,"[2, 1]",1751,"[673, 626]",5,0.46795305010183286,0.3621390012065816,14,64,128,128,adadelta,0.012023768675330369,0.40517765877631273,"{'model_type': 'Identity', 'in_dim': 8421, 'dim': 1105}","{'dim': 128, 'update_pairs': False}",{'dim': 256},{'dim': 1024},-0.0763113999022265
8319,"[1, 1, 3]",600,[205],5,0.40501912551417363,0.33727076662488853,17,64,128,128,adadelta,0.0009192287328817268,0.0023649613970098005,"{'model_type': 'Identity', 'in_dim': 8421, 'dim': 1645}","{'dim': 128, 'update_pairs': False}",{'dim': 128},{'dim': 1024},-0.10902976376789794
8319,"[1, 1, 3]",600,[205],5,0.40501912551417363,0.33727076662488853,17,64,128,128,adadelta,0.0009192287328817268,0.0023649613970098005,"{'model_type': 'Identity', 'in_dim': 8421, 'dim': 1645}","{'dim': 128, 'update_pairs': False}",{'dim': 128},{'dim': 1024},-0.13155090588386328
8319,[2],2001,"[115, 1004]",5,0.27336729569066714,0.10390293986833328,18,256,128,128,rmsprop,0.001178189877545254,0.006714159707109242,"{'model_type': 'Identity', 'in_dim': 8421, 'dim': 1506}","{'dim': 128, 'update_pairs': False}",{'dim': 256},{'dim': 1024},-0.17503829577378513
8319,"[1, 2]",558,"[379, 360]",5,0.1434169182740641,0.30466188696614,4,128,128,128,adadelta,0.5017991929015985,0.2326376422304547,"{'model_type': 'Identity', 'in_dim': 8421, 'dim': 188}","{'dim': 128, 'update_pairs': False}",{'dim': 256},{'dim': 1024},-0.33211077917326687
8319,"[1, 2]",558,"[379, 360]",5,0.1434169182740641,0.30466188696614,4,128,128,128,adadelta,0.5017991929015985,0.2326376422304547,"{'model_type': 'Identity', 'in_dim': 8421, 'dim': 188}","{'dim': 128, 'update_pairs': False}",{'dim': 256},{'dim': 1024},-0.3546440174439466
8319,"[2, 1, 1]",1744,[881],5,0.27610287122563054,0.13349059382543374,3,128,128,128,adamax,0.24987751386014692,0.07903533518289987,"{'model_type': 'Identity', 'in_dim': 8421, 'dim': 508}","{'dim': 128, 'update_pairs': False}",{'dim': 256},{'dim': 1024},-0.3935854998763587
8319,"[2, 1, 1]",1744,[881],5,0.27610287122563054,0.13349059382543374,3,128,128,128,adamax,0.24987751386014692,0.07903533518289987,"{'model_type': 'Identity', 'in_dim': 8421, 'dim': 508}","{'dim': 128, 'update_pairs': False}",{'dim': 256},{'dim': 1024},-0.3987158045364023
8319,"[2, 1, 1]",1744,[881],5,0.27610287122563054,0.13349059382543374,3,128,128,128,adamax,0.24987751386014692,0.07903533518289987,"{'model_type': 'Identity', 'in_dim': 8421, 'dim': 508}","{'dim': 128, 'update_pairs': False}",{'dim': 256},{'dim': 1024},-0.4096587661236822
8319,[3],1623,[531],5,0.1721345132417171,0.2977264808787613,7,64,128,128,rmsprop,0.03228463555257257,0.07828263448438219,"{'model_type': 'Identity', 'in_dim': 8421, 'dim': 943}","{'dim': 128, 'update_pairs': False}",{'dim': 256},{'dim': 1024},-1.086395214503575
8319,[3],1623,[531],5,0.1721345132417171,0.2977264808787613,7,64,128,128,rmsprop,0.03228463555257257,0.07828263448438219,"{'model_type': 'Identity', 'in_dim': 8421, 'dim': 943}","{'dim': 128, 'update_pairs': False}",{'dim': 256},{'dim': 1024},-3.0572217137942115
