model,split,metric,value,stdev,mode,date,seeds
ECFP8-GraphConv-PCNN2D,cold drug,RMSE,0.7040649530354756,0.2261107799669882,eval,2020_02_14__03_13_53,1-8-64
ECFP8-GraphConv-PCNN2D,cold drug,CI,0.6909809812702361,0.07789498513395136,eval,2020_02_14__03_13_53,1-8-64
ECFP8-GraphConv-PCNN2D,cold drug,R2,0.28194699272042034,0.18120633107586043,eval,2020_02_14__03_13_53,1-8-64
ECFP8-GraphConv-PCNN2D,cold target,RMSE,0.6711778550838006,0.15439621704607379,eval,2020_02_14__02_53_54,1-8-64
ECFP8-GraphConv-PCNN2D,cold target,CI,0.7182628487956438,0.05001245455307632,eval,2020_02_14__02_53_54,1-8-64
ECFP8-GraphConv-PCNN2D,cold target,R2,0.35456583463498137,0.14120437594614926,eval,2020_02_14__02_53_54,1-8-64
ECFP8-GraphConv-PCNN2D,warm,RMSE,0.6980366614474451,0.18175720958088223,eval,2020_02_14__03_50_27,1-8-64
ECFP8-GraphConv-PCNN2D,warm,CI,0.7393327601464371,0.04589707568586251,eval,2020_02_14__03_50_27,1-8-64
ECFP8-GraphConv-PCNN2D,warm,R2,0.4075155259432329,0.1408208543970775,eval,2020_02_14__03_50_27,1-8-64
ECFP8-GraphConv-PSC,cold drug,RMSE,0.43123253168625186,0.13836113633390237,eval,2020_02_13__01_19_27,1-8-64
ECFP8-GraphConv-PSC,cold drug,CI,0.8210987632237419,0.06516235884440921,eval,2020_02_13__01_19_27,1-8-64
ECFP8-GraphConv-PSC,cold drug,R2,0.672221334048977,0.17742308271283097,eval,2020_02_13__01_19_27,1-8-64
ECFP8-GraphConv-PSC,cold target,RMSE,0.4050455300222529,0.1019627957841895,eval,2020_02_13__00_44_15,1-8-64
ECFP8-GraphConv-PSC,cold target,CI,0.8384745723271787,0.04639846609449907,eval,2020_02_13__00_44_15,1-8-64
ECFP8-GraphConv-PSC,cold target,R2,0.7442844461673757,0.11422519492644381,eval,2020_02_13__00_44_15,1-8-64
ECFP8-GraphConv-PSC,warm,RMSE,0.38961524377383394,0.0811486739543794,eval,2020_02_13__00_06_43,1-8-64
ECFP8-GraphConv-PSC,warm,CI,0.8507509401686414,0.034825040617057185,eval,2020_02_13__00_06_43,1-8-64
ECFP8-GraphConv-PSC,warm,R2,0.7749560294512988,0.08441954196331111,eval,2020_02_13__00_06_43,1-8-64
ECFP8-GraphConv-RNN-PSC,cold drug,RMSE,0.4013453302804446,0.14052210555205727,eval,2020_02_13__22_30_43,1-8-64
ECFP8-GraphConv-RNN-PSC,cold drug,CI,0.835799428213431,0.06098006999352721,eval,2020_02_13__22_30_43,1-8-64
ECFP8-GraphConv-RNN-PSC,cold drug,R2,0.7125932184817252,0.16704387578244984,eval,2020_02_13__22_30_43,1-8-64
ECFP8-GraphConv-RNN-PSC,cold target,RMSE,0.41139865587633256,0.10064213191707835,eval,2020_02_13__23_36_57,1-8-64
ECFP8-GraphConv-RNN-PSC,cold target,CI,0.8388166135514881,0.04251986199121706,eval,2020_02_13__23_36_57,1-8-64
ECFP8-GraphConv-RNN-PSC,cold target,R2,0.745828652496686,0.1053297937946277,eval,2020_02_13__23_36_57,1-8-64
ECFP8-GraphConv-RNN-PSC,warm,RMSE,0.38766455903272423,0.08097160569623639,eval,2020_02_13__23_04_04,1-8-64
ECFP8-GraphConv-RNN-PSC,warm,CI,0.8516956158060339,0.03425002069537235,eval,2020_02_13__23_04_04,1-8-64
ECFP8-GraphConv-RNN-PSC,warm,R2,0.7687308665732296,0.08514182925853983,eval,2020_02_13__23_04_04,1-8-64
ECFP8-GNN-PCNN2D-PSC,cold drug,RMSE,0.48962652157397407,0.16944049397357472,eval,2020_02_13__20_06_05,1-8-64
ECFP8-GNN-PCNN2D-PSC,cold drug,CI,0.7979536873540503,0.06694559093138507,eval,2020_02_13__20_06_05,1-8-64
ECFP8-GNN-PCNN2D-PSC,cold drug,R2,0.5905019748356197,0.18096037948057792,eval,2020_02_13__20_06_05,1-8-64
ECFP8-GNN-PCNN2D-PSC,cold target,RMSE,0.4876923110806079,0.10381533064411148,eval,2020_02_13__21_22_41,1-8-64
ECFP8-GNN-PCNN2D-PSC,cold target,CI,0.8103579634471665,0.03994876407142862,eval,2020_02_13__21_22_41,1-8-64
