attn_heads,attn_layers,lin_dims,output_dim,latent_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,weave,gconv,ecfp8,gnn,score
2,1,"[1033, 1481, 1800]",1,512,5,0.19212446322104615,256,128,128,adamax,0.0003829484492778129,0.000692669527060444,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 33, 'psc_dim': 8421, 'rnn_hidden_state_dim': 27}",{'update_pairs': False},{'dim': 210},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 422}",0.3131627000875132
2,1,"[1033, 1481, 1800]",1,512,5,0.19212446322104615,256,128,128,adamax,0.0003829484492778129,0.000692669527060444,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 33, 'psc_dim': 8421, 'rnn_hidden_state_dim': 27}",{'update_pairs': False},{'dim': 210},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 422}",0.28836228297504607
8,1,"[1689, 1776]",1,256,5,0.22861355974758146,128,128,128,adagrad,0.006306117317221979,0.000612974508988688,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 3, 'embedding_dim': 33, 'psc_dim': 8421, 'rnn_hidden_state_dim': 35}",{'update_pairs': False},{'dim': 72},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 149}",0.19768907503093433
2,3,"[968, 139]",1,256,5,0.110536718604638,128,128,128,adam,0.00013483866543835763,0.00043399475240977825,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 17, 'psc_dim': 8421, 'rnn_hidden_state_dim': 41}",{'update_pairs': False},{'dim': 314},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 405}",0.17801096134132896
8,1,"[1689, 1776]",1,256,5,0.22861355974758146,128,128,128,adagrad,0.006306117317221979,0.000612974508988688,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 3, 'embedding_dim': 33, 'psc_dim': 8421, 'rnn_hidden_state_dim': 35}",{'update_pairs': False},{'dim': 72},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 149}",0.16230412078279594
4,1,[2048],1,256,5,0.1,128,128,128,adadelta,0.0009356783272269437,1.0,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 1, 'embedding_dim': 5, 'psc_dim': 8421, 'rnn_hidden_state_dim': 44}",{'update_pairs': False},{'dim': 95},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 83}",0.13669000863576175
16,2,[284],1,256,5,0.3610406606453659,256,128,128,adadelta,0.00010768221138570412,0.05124042051758539,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 3, 'embedding_dim': 21, 'psc_dim': 8421, 'rnn_hidden_state_dim': 40}",{'update_pairs': False},{'dim': 193},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 324}",0.1274424013638044
1,1,[178],1,512,5,0.4988328213377454,128,128,128,adagrad,0.0022204581601105895,0.0030605219161407952,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 2, 'embedding_dim': 21, 'psc_dim': 8421, 'rnn_hidden_state_dim': 16}",{'update_pairs': False},{'dim': 330},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 153}",0.1263869295956021
2,3,"[968, 139]",1,256,5,0.110536718604638,128,128,128,adam,0.00013483866543835763,0.00043399475240977825,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 17, 'psc_dim': 8421, 'rnn_hidden_state_dim': 41}",{'update_pairs': False},{'dim': 314},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 405}",0.1222845079329732
16,2,[284],1,256,5,0.3610406606453659,256,128,128,adadelta,0.00010768221138570412,0.05124042051758539,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 3, 'embedding_dim': 21, 'psc_dim': 8421, 'rnn_hidden_state_dim': 40}",{'update_pairs': False},{'dim': 193},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 324}",0.09194009675211519
