attn_heads,attn_layers,lin_dims,output_dim,latent_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,weave,gconv,ecfp8,gnn,score
2,1,"[1033, 1481, 1800]",1,512,5,0.19212446322104615,256,128,128,adamax,0.0003829484492778129,0.000692669527060444,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 33, 'psc_dim': 8421, 'rnn_hidden_state_dim': 27}",{'update_pairs': False},{'dim': 210},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 422}",0.2846127581372616
2,1,"[1033, 1481, 1800]",1,512,5,0.19212446322104615,256,128,128,adamax,0.0003829484492778129,0.000692669527060444,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 33, 'psc_dim': 8421, 'rnn_hidden_state_dim': 27}",{'update_pairs': False},{'dim': 210},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 422}",0.26872565529160414
2,1,"[1033, 1481, 1800]",1,512,5,0.19212446322104615,256,128,128,adamax,0.0003829484492778129,0.000692669527060444,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 33, 'psc_dim': 8421, 'rnn_hidden_state_dim': 27}",{'update_pairs': False},{'dim': 210},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 422}",0.2639647380053965
2,1,"[1033, 1481, 1800]",1,512,5,0.19212446322104615,256,128,128,adamax,0.0003829484492778129,0.000692669527060444,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 33, 'psc_dim': 8421, 'rnn_hidden_state_dim': 27}",{'update_pairs': False},{'dim': 210},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 422}",0.25485391083057635
2,1,"[1033, 1481, 1800]",1,512,5,0.19212446322104615,256,128,128,adamax,0.0003829484492778129,0.000692669527060444,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 33, 'psc_dim': 8421, 'rnn_hidden_state_dim': 27}",{'update_pairs': False},{'dim': 210},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 422}",0.23376839728430945
1,1,[178],1,512,5,0.4988328213377454,128,128,128,adagrad,0.0022204581601105895,0.0030605219161407952,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 2, 'embedding_dim': 21, 'psc_dim': 8421, 'rnn_hidden_state_dim': 16}",{'update_pairs': False},{'dim': 330},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 153}",0.07167011514025544
2,2,"[1992, 241]",1,256,5,0.3162853068004974,128,128,128,adamax,0.0004087995446724508,0.0026641572671298485,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 1, 'embedding_dim': 36, 'psc_dim': 8421, 'rnn_hidden_state_dim': 36}",{'update_pairs': False},{'dim': 501},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 193}",0.027646579408911312
1,1,[178],1,512,5,0.4988328213377454,128,128,128,adagrad,0.0022204581601105895,0.0030605219161407952,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 2, 'embedding_dim': 21, 'psc_dim': 8421, 'rnn_hidden_state_dim': 16}",{'update_pairs': False},{'dim': 330},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 153}",0.023015542609563018
8,1,"[1689, 1776]",1,256,5,0.22861355974758146,128,128,128,adagrad,0.006306117317221979,0.000612974508988688,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 3, 'embedding_dim': 33, 'psc_dim': 8421, 'rnn_hidden_state_dim': 35}",{'update_pairs': False},{'dim': 72},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 149}",0.010899666430147163
8,1,"[991, 177]",1,512,5,0.32586594058722185,128,128,128,adadelta,0.00023998559272070004,0.011127527154406873,"{'model_types': ['psc', 'pcnn2d'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 1, 'embedding_dim': 6, 'psc_dim': 8421, 'rnn_hidden_state_dim': 29}",{'update_pairs': False},{'dim': 250},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 307}",0.00905207531653664
