attn_heads,attn_layers,lin_dims,output_dim,latent_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,weave,gconv,ecfp8,gnn,score
2,1,"[1033, 1481, 1800]",1,512,5,0.19212446322104615,256,128,128,adamax,0.0003829484492778129,0.000692669527060444,"{'model_types': ['psc', 'rnn'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 33, 'psc_dim': 8421, 'rnn_hidden_state_dim': 27}",{'update_pairs': False},{'dim': 210},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 422}",0.2723317857713847
2,1,"[1033, 1481, 1800]",1,512,5,0.19212446322104615,256,128,128,adamax,0.0003829484492778129,0.000692669527060444,"{'model_types': ['psc', 'rnn'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 33, 'psc_dim': 8421, 'rnn_hidden_state_dim': 27}",{'update_pairs': False},{'dim': 210},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 422}",0.26593287965948736
2,1,"[1033, 1481, 1800]",1,512,5,0.19212446322104615,256,128,128,adamax,0.0003829484492778129,0.000692669527060444,"{'model_types': ['psc', 'rnn'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 33, 'psc_dim': 8421, 'rnn_hidden_state_dim': 27}",{'update_pairs': False},{'dim': 210},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 422}",0.2468830782782191
2,1,"[1033, 1481, 1800]",1,512,5,0.19212446322104615,256,128,128,adamax,0.0003829484492778129,0.000692669527060444,"{'model_types': ['psc', 'rnn'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 33, 'psc_dim': 8421, 'rnn_hidden_state_dim': 27}",{'update_pairs': False},{'dim': 210},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 422}",0.24304279930042075
2,1,"[1033, 1481, 1800]",1,512,5,0.19212446322104615,256,128,128,adamax,0.0003829484492778129,0.000692669527060444,"{'model_types': ['psc', 'rnn'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 4, 'embedding_dim': 33, 'psc_dim': 8421, 'rnn_hidden_state_dim': 27}",{'update_pairs': False},{'dim': 210},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 422}",0.19953091490149844
8,1,"[1689, 1776]",1,256,5,0.22861355974758146,128,128,128,adagrad,0.006306117317221979,0.000612974508988688,"{'model_types': ['psc', 'rnn'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 3, 'embedding_dim': 33, 'psc_dim': 8421, 'rnn_hidden_state_dim': 35}",{'update_pairs': False},{'dim': 72},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 149}",0.11936563044580638
8,1,"[1689, 1776]",1,256,5,0.22861355974758146,128,128,128,adagrad,0.006306117317221979,0.000612974508988688,"{'model_types': ['psc', 'rnn'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 3, 'embedding_dim': 33, 'psc_dim': 8421, 'rnn_hidden_state_dim': 35}",{'update_pairs': False},{'dim': 72},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 149}",0.1040037546306828
8,1,"[1689, 1776]",1,256,5,0.22861355974758146,128,128,128,adagrad,0.006306117317221979,0.000612974508988688,"{'model_types': ['psc', 'rnn'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 3, 'embedding_dim': 33, 'psc_dim': 8421, 'rnn_hidden_state_dim': 35}",{'update_pairs': False},{'dim': 72},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 149}",0.09998579821610944
8,1,"[1689, 1776]",1,256,5,0.22861355974758146,128,128,128,adagrad,0.006306117317221979,0.000612974508988688,"{'model_types': ['psc', 'rnn'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 3, 'embedding_dim': 33, 'psc_dim': 8421, 'rnn_hidden_state_dim': 35}",{'update_pairs': False},{'dim': 72},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 149}",0.08178479364307555
8,1,"[1689, 1776]",1,256,5,0.22861355974758146,128,128,128,adagrad,0.006306117317221979,0.000612974508988688,"{'model_types': ['psc', 'rnn'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 3, 'embedding_dim': 33, 'psc_dim': 8421, 'rnn_hidden_state_dim': 35}",{'update_pairs': False},{'dim': 72},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 149}",0.06137607790870404
1,1,[178],1,512,5,0.4988328213377454,128,128,128,adagrad,0.0022204581601105895,0.0030605219161407952,"{'model_types': ['psc', 'rnn'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 2, 'embedding_dim': 21, 'psc_dim': 8421, 'rnn_hidden_state_dim': 16}",{'update_pairs': False},{'dim': 330},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 153}",0.0508708554665551
1,1,[178],1,512,5,0.4988328213377454,128,128,128,adagrad,0.0022204581601105895,0.0030605219161407952,"{'model_types': ['psc', 'rnn'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 2, 'embedding_dim': 21, 'psc_dim': 8421, 'rnn_hidden_state_dim': 16}",{'update_pairs': False},{'dim': 330},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 153}",0.050331627626787424
1,1,[178],1,512,5,0.4988328213377454,128,128,128,adagrad,0.0022204581601105895,0.0030605219161407952,"{'model_types': ['psc', 'rnn'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 2, 'embedding_dim': 21, 'psc_dim': 8421, 'rnn_hidden_state_dim': 16}",{'update_pairs': False},{'dim': 330},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 153}",0.04527403836487016
1,1,[178],1,512,5,0.4988328213377454,128,128,128,adagrad,0.0022204581601105895,0.0030605219161407952,"{'model_types': ['psc', 'rnn'], 'vocab_size': 9048, 'window': 11, 'pcnn_num_layers': 2, 'embedding_dim': 21, 'psc_dim': 8421, 'rnn_hidden_state_dim': 16}",{'update_pairs': False},{'dim': 330},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 153}",0.035764928929533375
