prot_vocab_size,attn_heads,attn_layers,lin_dims,latent_dim,disc_hdims,kaiming_constant,weighted_loss,dprob,neigh_dist,tr_batch_size,val_batch_size,test_batch_size,optimizer_gen,optimizer_gen__global__weight_decay,optimizer_gen__global__lr,optimizer_disc,optimizer_disc__global__weight_decay,optimizer_disc__global__lr,prot,weave,gconv,ecfp8,score
9048,4,1,"[1424, 64]",256,[365],5,0.1,0.1,56,256,128,128,adamax,0.0008549199648018709,0.0005426076717369473,sgd,1.0,0.0001,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.3498117948263391
9048,4,1,"[664, 875]",256,[2048],5,0.1190170183019852,0.10236446176021134,62,256,128,128,adadelta,0.0003982662283425603,0.11432476268322919,adagrad,0.3003140582510721,0.012345298311029389,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.3437376697310024
9048,2,1,"[1775, 64]",256,[1553],5,0.1,0.1,30,256,128,128,adamax,0.0001,0.0005614929595878452,adam,0.0008160256385667754,0.0001,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.339999380393058
9048,2,1,"[1178, 1062]",256,[773],5,0.1,0.1,63,256,128,128,adadelta,0.0003126677116710729,0.13354232905060817,adagrad,0.004773604888627455,0.60722582931456,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.3378002202997781
9048,1,1,"[1928, 781]",256,[2048],5,0.11781560277001665,0.1,34,256,128,128,adadelta,0.00037522801681854587,0.11505845718452958,adagrad,0.005143836369791215,0.2775689655766974,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.3369294096356714
9048,4,1,"[1145, 64]",256,[401],5,0.1,0.1,64,256,128,128,adadelta,0.00018066415439249733,0.09103153904554474,rmsprop,1.0,0.5028444527771567,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.33446471745263
9048,16,1,"[304, 1508]",256,[1613],5,0.1,0.1,62,256,128,128,adadelta,0.0003900891215037627,0.11484381578376388,adamax,1.0,0.0023162418691580243,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.3306959574638182
9048,4,1,"[64, 64]",256,"[1296, 2048]",5,0.1,0.10263969908291548,19,256,128,128,adamax,0.0001,0.0011056067848646738,sgd,1.0,0.0002226870203875676,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.3248631742886191
9048,8,1,"[1425, 393, 1080]",256,"[826, 534]",5,0.15660486585750868,0.1,54,256,128,128,adagrad,0.0023313548242919345,0.00252428349620093,rmsprop,0.002229558242377055,0.19913777393039786,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.321672626442024
9048,4,1,"[507, 64]",256,"[1629, 1033]",5,0.10165290677633457,0.1,20,256,128,128,adam,0.0007846003171632165,0.0006134047969960683,sgd,0.30546566412125686,0.31861035445278507,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.3192339992348165
9048,4,1,"[878, 109]",256,[1231],5,0.1,0.24270147306749268,14,256,128,128,adadelta,0.00022905094546541273,0.2805029944038006,rmsprop,0.08241613611577531,0.11853839947583371,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.316864490395143
9048,4,1,[1597],256,[399],5,0.1,0.1623679630913116,50,256,128,128,adadelta,0.0006518573477062966,0.08175113750974294,adadelta,0.022790137691645045,1.0,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.31144516011802037
9048,8,1,"[2048, 443, 1404]",256,"[1979, 1267]",5,0.2000068262555567,0.13288093309617033,16,256,128,128,adagrad,0.0006207565953261057,0.0019681622616838893,adamax,1.0,0.6830392009707952,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.30838501828757453
9048,2,1,"[1113, 597]",256,[152],5,0.1,0.17653434272430552,9,256,128,128,adadelta,0.0003278207466167733,0.16686542558897857,rmsprop,0.00014129186993164965,0.46863145339003054,"{'model_type': 'psc', 'in_dim': 8421, 'dim': 8421, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 100}",{'update_pairs': False},{'dim': 512},{'dim': 1024},0.302282225787396
