view,prot_dim,comp_dim,hdims,graph_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,optimizer__sgd__nesterov,optimizer__sgd__momentum,optimizer__adam__amsgrad,optimizer__adadelta__rho,optimizer__adagrad__lr_decay,optimizer__rmsprop__momentum,score
ecfp8,8421,1024,"[3616, 382, 4531]",160,5,0.1640379652236322,512,512,512,adamax,0.0005157268634913182,0.00047778153018807295,True,0.09845754168974598,False,0.0013223799841309055,0.00023321761901480895,0.001238286244647923,0.31051619388953805
ecfp8,8421,1024,"[3616, 382, 4531]",160,5,0.1640379652236322,512,512,512,adamax,0.0005157268634913182,0.00047778153018807295,True,0.09845754168974598,False,0.0013223799841309055,0.00023321761901480895,0.001238286244647923,0.29813476981971904
ecfp8,8421,1024,"[3616, 382, 4531]",160,5,0.1640379652236322,512,512,512,adamax,0.0005157268634913182,0.00047778153018807295,True,0.09845754168974598,False,0.0013223799841309055,0.00023321761901480895,0.001238286244647923,0.29080239589382395
ecfp8,8421,1024,"[3616, 382, 4531]",160,5,0.1640379652236322,512,512,512,adamax,0.0005157268634913182,0.00047778153018807295,True,0.09845754168974598,False,0.0013223799841309055,0.00023321761901480895,0.001238286244647923,0.2866560103469584
ecfp8,8421,1024,"[3616, 382, 4531]",160,5,0.1640379652236322,512,512,512,adamax,0.0005157268634913182,0.00047778153018807295,True,0.09845754168974598,False,0.0013223799841309055,0.00023321761901480895,0.001238286244647923,0.284590619209475
ecfp8,8421,1024,[2944],380,5,0.039220066263211575,512,512,512,adamax,0.0003481136160761598,0.0005583132819412679,True,0.0018348955222781836,True,0.897009087164606,0.00011107614360501992,0.047190321891271446,0.24280082982520268
ecfp8,8421,1024,[2944],380,5,0.039220066263211575,512,512,512,adamax,0.0003481136160761598,0.0005583132819412679,True,0.0018348955222781836,True,0.897009087164606,0.00011107614360501992,0.047190321891271446,0.23266192711443862
ecfp8,8421,1024,"[4903, 2200, 4222, 1307]",84,5,0.14035066604175545,128,512,512,adagrad,0.022745759413976174,0.010037247324284553,False,0.0036351819241842113,True,0.0002539852344112164,0.02850542081938002,0.0032194572441333813,0.22902511105007958
ecfp8,8421,1024,[2944],380,5,0.039220066263211575,512,512,512,adamax,0.0003481136160761598,0.0005583132819412679,True,0.0018348955222781836,True,0.897009087164606,0.00011107614360501992,0.047190321891271446,0.22583676940454792
ecfp8,8421,1024,[2944],380,5,0.039220066263211575,512,512,512,adamax,0.0003481136160761598,0.0005583132819412679,True,0.0018348955222781836,True,0.897009087164606,0.00011107614360501992,0.047190321891271446,0.2234412961999941
ecfp8,8421,1024,"[1122, 653, 4644]",302,5,0.025572084576224074,128,512,512,adamax,0.003698789919519203,0.000375763169417052,False,0.00019280372704273243,False,0.0021868088142190313,0.05579257990039718,0.022148658490115127,0.21290454811817575
ecfp8,8421,1024,[2944],380,5,0.039220066263211575,512,512,512,adamax,0.0003481136160761598,0.0005583132819412679,True,0.0018348955222781836,True,0.897009087164606,0.00011107614360501992,0.047190321891271446,0.2097605597830386
ecfp8,8421,1024,"[4903, 2200, 4222, 1307]",84,5,0.14035066604175545,128,512,512,adagrad,0.022745759413976174,0.010037247324284553,False,0.0036351819241842113,True,0.0002539852344112164,0.02850542081938002,0.0032194572441333813,0.2093717142983801
ecfp8,8421,1024,"[1122, 653, 4644]",302,5,0.025572084576224074,128,512,512,adamax,0.003698789919519203,0.000375763169417052,False,0.00019280372704273243,False,0.0021868088142190313,0.05579257990039718,0.022148658490115127,0.20661242219565024
ecfp8,8421,1024,"[4903, 2200, 4222, 1307]",84,5,0.14035066604175545,128,512,512,adagrad,0.022745759413976174,0.010037247324284553,False,0.0036351819241842113,True,0.0002539852344112164,0.02850542081938002,0.0032194572441333813,0.2062721231877788
ecfp8,8421,1024,"[1122, 653, 4644]",302,5,0.025572084576224074,128,512,512,adamax,0.003698789919519203,0.000375763169417052,False,0.00019280372704273243,False,0.0021868088142190313,0.05579257990039718,0.022148658490115127,0.19670300731441315
ecfp8,8421,1024,"[4035, 716, 1751]",395,5,0.19756631992171947,512,512,512,rmsprop,0.0031018685180771288,0.00011710413799646355,True,0.2831084822531329,False,0.0031897218531291983,0.06357072700556034,0.00015158966740252855,0.18882919486083832
ecfp8,8421,1024,"[1122, 653, 4644]",302,5,0.025572084576224074,128,512,512,adamax,0.003698789919519203,0.000375763169417052,False,0.00019280372704273243,False,0.0021868088142190313,0.05579257990039718,0.022148658490115127,0.1803676579374886
ecfp8,8421,1024,"[1122, 653, 4644]",302,5,0.025572084576224074,128,512,512,adamax,0.003698789919519203,0.000375763169417052,False,0.00019280372704273243,False,0.0021868088142190313,0.05579257990039718,0.022148658490115127,0.17950895580013712
ecfp8,8421,1024,"[4903, 2200, 4222, 1307]",84,5,0.14035066604175545,128,512,512,adagrad,0.022745759413976174,0.010037247324284553,False,0.0036351819241842113,True,0.0002539852344112164,0.02850542081938002,0.0032194572441333813,0.17663870607430954
ecfp8,8421,1024,"[4903, 2200, 4222, 1307]",84,5,0.14035066604175545,128,512,512,adagrad,0.022745759413976174,0.010037247324284553,False,0.0036351819241842113,True,0.0002539852344112164,0.02850542081938002,0.0032194572441333813,0.17407895226133055
ecfp8,8421,1024,"[4035, 716, 1751]",395,5,0.19756631992171947,512,512,512,rmsprop,0.0031018685180771288,0.00011710413799646355,True,0.2831084822531329,False,0.0031897218531291983,0.06357072700556034,0.00015158966740252855,0.17352192536874086
ecfp8,8421,1024,"[5000, 5000, 5000, 256]",64,5,0.01,128,512,512,adagrad,0.12624781789891185,0.0001,False,0.00011810093080805537,True,0.0001,0.000396822779710236,0.018289282450967583,0.1606679839741494
ecfp8,8421,1024,[3635],396,5,0.051934725154440406,128,512,512,adagrad,0.003127560411392145,0.0008670646903645825,False,0.11587341344488475,False,0.00012939807637203838,0.0004961649309025573,0.0004133604938397395,0.14767427015767545
ecfp8,8421,1024,[3635],396,5,0.051934725154440406,128,512,512,adagrad,0.003127560411392145,0.0008670646903645825,False,0.11587341344488475,False,0.00012939807637203838,0.0004961649309025573,0.0004133604938397395,0.14047402392135888
ecfp8,8421,1024,[3635],396,5,0.051934725154440406,128,512,512,adagrad,0.003127560411392145,0.0008670646903645825,False,0.11587341344488475,False,0.00012939807637203838,0.0004961649309025573,0.0004133604938397395,0.12828006576490036
ecfp8,8421,1024,[3635],396,5,0.051934725154440406,128,512,512,adagrad,0.003127560411392145,0.0008670646903645825,False,0.11587341344488475,False,0.00012939807637203838,0.0004961649309025573,0.0004133604938397395,0.11521914493060845
ecfp8,8421,1024,[3635],396,5,0.051934725154440406,128,512,512,adagrad,0.003127560411392145,0.0008670646903645825,False,0.11587341344488475,False,0.00012939807637203838,0.0004961649309025573,0.0004133604938397395,0.11154597744576758
ecfp8,8421,1024,[1144],435,5,0.046386412715966115,128,512,512,adamax,0.000314243823858099,0.0029263614692357776,False,0.00044470778282927826,True,0.15089614364949708,0.0003239099100285234,0.002428295918098408,0.10746978054293448
ecfp8,8421,1024,[1144],435,5,0.046386412715966115,128,512,512,adamax,0.000314243823858099,0.0029263614692357776,False,0.00044470778282927826,True,0.15089614364949708,0.0003239099100285234,0.002428295918098408,0.10342712843530241
ecfp8,8421,1024,[1144],435,5,0.046386412715966115,128,512,512,adamax,0.000314243823858099,0.0029263614692357776,False,0.00044470778282927826,True,0.15089614364949708,0.0003239099100285234,0.002428295918098408,0.10088650664284154
ecfp8,8421,1024,"[3195, 5000, 256]",64,5,0.04563281986476932,256,512,512,adadelta,1.0,0.0013374667294746073,True,0.0001,True,0.0010330782677255847,0.18719283552566648,0.0001,0.09605300353164814
ecfp8,8421,1024,"[1404, 4077, 2047]",324,5,0.08462760077600293,64,512,512,adagrad,0.7993512484900676,0.0006309390628705195,True,0.005754275851059694,True,0.004257386816968699,0.00493575860905337,0.6879929480190717,0.09444877880443718
ecfp8,8421,1024,"[1404, 4077, 2047]",324,5,0.08462760077600293,64,512,512,adagrad,0.7993512484900676,0.0006309390628705195,True,0.005754275851059694,True,0.004257386816968699,0.00493575860905337,0.6879929480190717,0.09418993665102775
ecfp8,8421,1024,"[1404, 4077, 2047]",324,5,0.08462760077600293,64,512,512,adagrad,0.7993512484900676,0.0006309390628705195,True,0.005754275851059694,True,0.004257386816968699,0.00493575860905337,0.6879929480190717,0.08910323625747095
ecfp8,8421,1024,[1144],435,5,0.046386412715966115,128,512,512,adamax,0.000314243823858099,0.0029263614692357776,False,0.00044470778282927826,True,0.15089614364949708,0.0003239099100285234,0.002428295918098408,0.08370255537656948
ecfp8,8421,1024,[1144],435,5,0.046386412715966115,128,512,512,adamax,0.000314243823858099,0.0029263614692357776,False,0.00044470778282927826,True,0.15089614364949708,0.0003239099100285234,0.002428295918098408,0.07943252306308826
ecfp8,8421,1024,"[3353, 4983]",320,5,0.018814689217702577,64,512,512,adamax,0.00032842080542611215,0.00018374284923833962,False,0.0009251748422518496,False,0.0006193610869334461,0.00011946723899411604,0.00034833249145364766,0.07635251415340041
ecfp8,8421,1024,"[3978, 2025, 845, 726]",373,5,0.037803595590565627,256,512,512,adamax,0.004622489386497726,0.004166040107356682,True,0.8651742787822587,False,0.0036730232065619655,0.00014137308201282443,0.006366358491316257,0.07397278971383198
ecfp8,8421,1024,"[3978, 2025, 845, 726]",373,5,0.037803595590565627,256,512,512,adamax,0.004622489386497726,0.004166040107356682,True,0.8651742787822587,False,0.0036730232065619655,0.00014137308201282443,0.006366358491316257,0.0696482576506586
ecfp8,8421,1024,"[1404, 4077, 2047]",324,5,0.08462760077600293,64,512,512,adagrad,0.7993512484900676,0.0006309390628705195,True,0.005754275851059694,True,0.004257386816968699,0.00493575860905337,0.6879929480190717,0.05912681985716361
ecfp8,8421,1024,"[3978, 2025, 845, 726]",373,5,0.037803595590565627,256,512,512,adamax,0.004622489386497726,0.004166040107356682,True,0.8651742787822587,False,0.0036730232065619655,0.00014137308201282443,0.006366358491316257,0.054089107666210515
ecfp8,8421,1024,"[4051, 4781]",178,5,0.13416250536917904,512,512,512,adam,0.0006593113366233622,0.004753207596308062,True,0.0001845859757272745,False,0.00039755439953528284,0.03170403059521885,0.0006285676688467875,0.05345902357845853
ecfp8,8421,1024,"[4051, 4781]",178,5,0.13416250536917904,512,512,512,adam,0.0006593113366233622,0.004753207596308062,True,0.0001845859757272745,False,0.00039755439953528284,0.03170403059521885,0.0006285676688467875,0.052601407451157246
ecfp8,8421,1024,"[938, 2215, 2708]",262,5,0.14598118279648203,128,512,512,sgd,0.012592102675834944,0.0021034557824192845,True,0.4183686749868193,True,0.0001923772041095645,0.000314162569320613,0.021775812486948952,0.052515326950799204
ecfp8,8421,1024,"[1404, 4077, 2047]",324,5,0.08462760077600293,64,512,512,adagrad,0.7993512484900676,0.0006309390628705195,True,0.005754275851059694,True,0.004257386816968699,0.00493575860905337,0.6879929480190717,0.0511611524300173
ecfp8,8421,1024,"[3978, 2025, 845, 726]",373,5,0.037803595590565627,256,512,512,adamax,0.004622489386497726,0.004166040107356682,True,0.8651742787822587,False,0.0036730232065619655,0.00014137308201282443,0.006366358491316257,0.049370838261283724
ecfp8,8421,1024,"[938, 2215, 2708]",262,5,0.14598118279648203,128,512,512,sgd,0.012592102675834944,0.0021034557824192845,True,0.4183686749868193,True,0.0001923772041095645,0.000314162569320613,0.021775812486948952,0.04749926666548198
ecfp8,8421,1024,"[2229, 2364, 3517]",362,5,0.14809962268960053,64,512,512,rmsprop,0.0020076173379696325,0.00011384464672547664,False,0.12284621361683905,True,0.014806596510995414,0.08224051495619135,0.015961143055431185,0.04725922276152953
ecfp8,8421,1024,[2885],76,5,0.011152492818889827,128,512,512,adadelta,0.0002881665736717541,0.005662462210864901,True,0.04954918534718604,True,0.004988174274150895,0.09737609630650652,0.0003222060055433464,0.04715678246576251
ecfp8,8421,1024,[2885],76,5,0.011152492818889827,128,512,512,adadelta,0.0002881665736717541,0.005662462210864901,True,0.04954918534718604,True,0.004988174274150895,0.09737609630650652,0.0003222060055433464,0.04181185879565996
ecfp8,8421,1024,"[5000, 4594, 4691, 256]",227,5,0.017037814063469735,256,512,512,adagrad,0.49881568908322194,0.0001,True,0.0001978691309940259,True,0.0017693557993417616,0.016862123450264006,0.0050532251582994315,0.03787751131319055
ecfp8,8421,1024,[2885],76,5,0.011152492818889827,128,512,512,adadelta,0.0002881665736717541,0.005662462210864901,True,0.04954918534718604,True,0.004988174274150895,0.09737609630650652,0.0003222060055433464,0.03217609836869821
ecfp8,8421,1024,"[3978, 2025, 845, 726]",373,5,0.037803595590565627,256,512,512,adamax,0.004622489386497726,0.004166040107356682,True,0.8651742787822587,False,0.0036730232065619655,0.00014137308201282443,0.006366358491316257,0.031112693901801918
ecfp8,8421,1024,"[4051, 4781]",178,5,0.13416250536917904,512,512,512,adam,0.0006593113366233622,0.004753207596308062,True,0.0001845859757272745,False,0.00039755439953528284,0.03170403059521885,0.0006285676688467875,0.022943977083084217
ecfp8,8421,1024,"[4051, 4781]",178,5,0.13416250536917904,512,512,512,adam,0.0006593113366233622,0.004753207596308062,True,0.0001845859757272745,False,0.00039755439953528284,0.03170403059521885,0.0006285676688467875,0.01536624414469306
ecfp8,8421,1024,"[2101, 2852, 912]",468,5,0.0854418338933194,32,512,512,adagrad,0.0006777135739750702,0.006963186087858362,False,0.5646645287296946,True,0.13949269821952806,0.0037853891950389087,0.00015430359876672522,0.014617614073113142
ecfp8,8421,1024,"[2229, 2364, 3517]",362,5,0.14809962268960053,64,512,512,rmsprop,0.0020076173379696325,0.00011384464672547664,False,0.12284621361683905,True,0.014806596510995414,0.08224051495619135,0.015961143055431185,0.01458230442965493
ecfp8,8421,1024,"[938, 2215, 2708]",262,5,0.14598118279648203,128,512,512,sgd,0.012592102675834944,0.0021034557824192845,True,0.4183686749868193,True,0.0001923772041095645,0.000314162569320613,0.021775812486948952,0.012751147380074894
ecfp8,8421,1024,"[2229, 2364, 3517]",362,5,0.14809962268960053,64,512,512,rmsprop,0.0020076173379696325,0.00011384464672547664,False,0.12284621361683905,True,0.014806596510995414,0.08224051495619135,0.015961143055431185,0.011402085336506882
ecfp8,8421,1024,"[4051, 4781]",178,5,0.13416250536917904,512,512,512,adam,0.0006593113366233622,0.004753207596308062,True,0.0001845859757272745,False,0.00039755439953528284,0.03170403059521885,0.0006285676688467875,0.009442400346653097
ecfp8,8421,1024,[2885],76,5,0.011152492818889827,128,512,512,adadelta,0.0002881665736717541,0.005662462210864901,True,0.04954918534718604,True,0.004988174274150895,0.09737609630650652,0.0003222060055433464,0.003798188901051552
ecfp8,8421,1024,[2885],76,5,0.011152492818889827,128,512,512,adadelta,0.0002881665736717541,0.005662462210864901,True,0.04954918534718604,True,0.004988174274150895,0.09737609630650652,0.0003222060055433464,0.0026211060347100155
ecfp8,8421,1024,"[3437, 3806, 256]",64,5,0.01,256,512,512,adadelta,1.0,0.0003927378295462968,True,0.0001,True,0.0001,1.0,0.0001,0.0024112408315238973
ecfp8,8421,1024,"[938, 2215, 2708]",262,5,0.14598118279648203,128,512,512,sgd,0.012592102675834944,0.0021034557824192845,True,0.4183686749868193,True,0.0001923772041095645,0.000314162569320613,0.021775812486948952,-0.007731601669204762
ecfp8,8421,1024,"[938, 2215, 2708]",262,5,0.14598118279648203,128,512,512,sgd,0.012592102675834944,0.0021034557824192845,True,0.4183686749868193,True,0.0001923772041095645,0.000314162569320613,0.021775812486948952,-0.013608650974531723
ecfp8,8421,1024,"[2265, 256, 256]",64,5,0.01,512,512,512,adadelta,1.0,0.021844281776591222,False,1.0,True,0.005480724481608993,1.0,0.00909913860982909,-0.016352932155132366
