view,prot_dim,comp_dim,hdims,graph_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,optimizer__sgd__nesterov,optimizer__sgd__momentum,optimizer__adam__amsgrad,optimizer__adadelta__rho,optimizer__adagrad__lr_decay,optimizer__rmsprop__momentum,score
gconv,8421,1024,"[3616, 382, 4531]",160,5,0.1640379652236322,512,512,512,adamax,0.0005157268634913182,0.00047778153018807295,True,0.09845754168974598,False,0.0013223799841309055,0.00023321761901480895,0.001238286244647923,0.22409457344621397
gconv,8421,1024,"[3616, 382, 4531]",160,5,0.1640379652236322,512,512,512,adamax,0.0005157268634913182,0.00047778153018807295,True,0.09845754168974598,False,0.0013223799841309055,0.00023321761901480895,0.001238286244647923,0.2091723304261879
gconv,8421,1024,"[3616, 382, 4531]",160,5,0.1640379652236322,512,512,512,adamax,0.0005157268634913182,0.00047778153018807295,True,0.09845754168974598,False,0.0013223799841309055,0.00023321761901480895,0.001238286244647923,0.20295700455545473
gconv,8421,1024,"[3616, 382, 4531]",160,5,0.1640379652236322,512,512,512,adamax,0.0005157268634913182,0.00047778153018807295,True,0.09845754168974598,False,0.0013223799841309055,0.00023321761901480895,0.001238286244647923,0.1940717715013391
gconv,8421,1024,[2944],380,5,0.039220066263211575,512,512,512,adamax,0.0003481136160761598,0.0005583132819412679,True,0.0018348955222781836,True,0.897009087164606,0.00011107614360501992,0.047190321891271446,0.19239037304487566
gconv,8421,1024,"[3616, 382, 4531]",160,5,0.1640379652236322,512,512,512,adamax,0.0005157268634913182,0.00047778153018807295,True,0.09845754168974598,False,0.0013223799841309055,0.00023321761901480895,0.001238286244647923,0.19102153090322846
gconv,8421,1024,[2944],380,5,0.039220066263211575,512,512,512,adamax,0.0003481136160761598,0.0005583132819412679,True,0.0018348955222781836,True,0.897009087164606,0.00011107614360501992,0.047190321891271446,0.188269565222457
gconv,8421,1024,[2944],380,5,0.039220066263211575,512,512,512,adamax,0.0003481136160761598,0.0005583132819412679,True,0.0018348955222781836,True,0.897009087164606,0.00011107614360501992,0.047190321891271446,0.18410929318343083
gconv,8421,1024,[2944],380,5,0.039220066263211575,512,512,512,adamax,0.0003481136160761598,0.0005583132819412679,True,0.0018348955222781836,True,0.897009087164606,0.00011107614360501992,0.047190321891271446,0.17677550725596464
gconv,8421,1024,"[510, 395]",165,5,0.2577204451709114,256,512,512,adagrad,0.0010869541067639395,0.010461082219255721,False,0.11260812315364883,True,0.015183955951396202,0.00033234179061372016,0.0004886606304825974,0.1738031410600799
