comp_view,hdims,output_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,weave,gconv,ecfp8,gnn,score
gnn,"[5000, 5000, 256, 256]",1,5,0.01,128,128,128,adam,0.0001,0.0001,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 4}","{'dim': 64, 'update_pairs': False}",{'dim': 64},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 512}",0.07480341802863702
gnn,"[256, 2000, 2027, 256]",1,5,0.01,128,128,128,adagrad,0.0001,0.0010160254727878742,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 1}","{'dim': 512, 'update_pairs': False}",{'dim': 64},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 512}",0.0526800448035509
gnn,"[256, 4515, 256, 256]",1,5,0.01,128,128,128,adagrad,0.00901118142227295,0.0006784663037792061,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 1}","{'dim': 146, 'update_pairs': False}",{'dim': 64},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 505}",0.04508012354540487
gnn,"[880, 2828, 1341]",1,5,0.017670074247002426,128,128,128,adagrad,0.038092393182337876,0.0005310470633936806,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 234, 'update_pairs': False}",{'dim': 158},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 504}",0.007769203265334094
gnn,[256],1,5,0.01,128,128,128,adam,0.0001,0.0001,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 1}","{'dim': 512, 'update_pairs': False}",{'dim': 512},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 512}",0.007458817258909183
gnn,[256],1,5,0.01,128,128,128,rmsprop,0.00018115412017948485,0.0001,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 1}","{'dim': 512, 'update_pairs': False}",{'dim': 512},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 512}",0.005409847303332228
gnn,"[2924, 3931, 738]",1,5,0.05917230296022094,256,128,128,adagrad,0.0026459155331160847,0.0016434405303007323,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 146, 'update_pairs': False}",{'dim': 320},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 357}",-0.003508130614659327
gnn,[3924],1,5,0.08725889580340372,128,128,128,adam,0.0001,0.0001,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 1}","{'dim': 512, 'update_pairs': False}",{'dim': 512},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 512}",-0.004301342713352559
gnn,[3247],1,5,0.017157120684452524,128,128,128,adam,0.0001,0.0001,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 1}","{'dim': 64, 'update_pairs': False}",{'dim': 350},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 512}",-0.005718704671261828
gnn,[256],1,5,0.06555758448834129,128,128,128,adagrad,0.001002487539846177,0.001375383633921013,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 1}","{'dim': 512, 'update_pairs': False}",{'dim': 507},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 512}",-0.012883958375680606
gnn,"[880, 2828, 1341]",1,5,0.017670074247002426,128,128,128,adagrad,0.038092393182337876,0.0005310470633936806,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 234, 'update_pairs': False}",{'dim': 158},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 504}",-0.01534081610093754
gnn,"[2833, 2710]",1,5,0.05904788434513946,128,128,128,adagrad,0.001376275070536675,0.0012866396350919094,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 2}","{'dim': 93, 'update_pairs': False}",{'dim': 308},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 506}",-0.016603368117065535
gnn,"[880, 2828, 1341]",1,5,0.017670074247002426,128,128,128,adagrad,0.038092393182337876,0.0005310470633936806,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 234, 'update_pairs': False}",{'dim': 158},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 504}",-0.02173456289331163
gnn,"[256, 5000, 256]",1,5,0.04244811072336314,128,128,128,rmsprop,0.0001,0.0001,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 4}","{'dim': 512, 'update_pairs': False}",{'dim': 512},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 209}",-0.02840715313630894
gnn,"[880, 2828, 1341]",1,5,0.017670074247002426,128,128,128,adagrad,0.038092393182337876,0.0005310470633936806,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 234, 'update_pairs': False}",{'dim': 158},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 504}",-0.03386312800645269
gnn,"[880, 2828, 1341]",1,5,0.017670074247002426,128,128,128,adagrad,0.038092393182337876,0.0005310470633936806,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 234, 'update_pairs': False}",{'dim': 158},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 504}",-0.03474002314011634
gnn,[256],1,5,0.10775052305834884,256,128,128,adagrad,0.05267957232089996,0.0001899049076869891,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 2}","{'dim': 512, 'update_pairs': False}",{'dim': 512},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 512}",-0.06697104160687192
gnn,"[256, 583]",1,5,0.01,128,128,128,adamax,0.20761792004632645,0.00018367020165669585,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 64, 'update_pairs': False}",{'dim': 64},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 512}",-0.09207946946795478
gnn,[5000],1,5,0.01,128,128,128,adagrad,0.0001,0.00011520174095266389,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 1}","{'dim': 512, 'update_pairs': False}",{'dim': 64},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 512}",-0.10260990603629079
gnn,[2638],1,5,0.025966865773647724,128,128,128,adagrad,0.008279027512563089,0.00043872655807763604,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 347, 'update_pairs': False}",{'dim': 224},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 429}",-0.10354613636207506
gnn,"[4628, 1051, 2730, 2412]",1,5,0.044746983469999266,256,128,128,adamax,0.0023355337301616437,0.00036217576487207546,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 75, 'update_pairs': False}",{'dim': 311},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 246}",-0.10833894768742858
gnn,"[4628, 1051, 2730, 2412]",1,5,0.044746983469999266,256,128,128,adamax,0.0023355337301616437,0.00036217576487207546,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 75, 'update_pairs': False}",{'dim': 311},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 246}",-0.10880652177830265
gnn,[4563],1,5,0.2483404647573298,128,128,128,adagrad,0.0038804306945835238,0.0009795625246515423,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 4}","{'dim': 238, 'update_pairs': False}",{'dim': 353},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 428}",-0.11242491315846326
gnn,"[4628, 1051, 2730, 2412]",1,5,0.044746983469999266,256,128,128,adamax,0.0023355337301616437,0.00036217576487207546,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 75, 'update_pairs': False}",{'dim': 311},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 246}",-0.12644622761452437
gnn,"[4628, 1051, 2730, 2412]",1,5,0.044746983469999266,256,128,128,adamax,0.0023355337301616437,0.00036217576487207546,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 75, 'update_pairs': False}",{'dim': 311},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 246}",-0.1331044949318474
gnn,"[256, 256, 5000, 4999]",1,5,0.01,128,128,128,adagrad,1.0,0.0001,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 4}","{'dim': 64, 'update_pairs': False}",{'dim': 512},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 512}",-0.13690089643719616
gnn,[256],1,5,0.01,256,128,128,adagrad,1.0,0.0001,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 1}","{'dim': 512, 'update_pairs': False}",{'dim': 512},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 512}",-0.14234195452655685
gnn,[2989],1,5,0.019351424406786413,256,128,128,adam,0.003304995482431901,0.0005766570655874422,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 4}","{'dim': 512, 'update_pairs': False}",{'dim': 499},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 512}",-0.1436426036710939
gnn,"[4628, 1051, 2730, 2412]",1,5,0.044746983469999266,256,128,128,adamax,0.0023355337301616437,0.00036217576487207546,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 75, 'update_pairs': False}",{'dim': 311},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 246}",-0.15307945026324682
gnn,[5000],1,5,0.01,128,128,128,adagrad,0.01398781965054842,0.0012973880193970753,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 1}","{'dim': 64, 'update_pairs': False}",{'dim': 512},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 512}",-0.16279348681461253
gnn,[256],1,5,0.01,128,128,128,adagrad,0.0001,0.0001,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 4}","{'dim': 64, 'update_pairs': False}",{'dim': 64},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 512}",-0.16700369231402556
