model,split,metric,value,stdev,mode,date,seeds
ECFP8-PCNNA,cold drug,RMSE,0.7605193229527576,0.22413147899782898,evalcv,2020_01_08__14_14_06,1-8-64
ECFP8-PCNNA,cold drug,CI,0.7077040151823152,0.08577532315554806,evalcv,2020_01_08__14_14_06,1-8-64
ECFP8-PCNNA,cold drug,R2,0.20452986123226893,0.13885742389335062,evalcv,2020_01_08__14_14_06,1-8-64
ECFP8-PCNNA,cold target,RMSE,0.7531187074050908,0.21486151678480667,evalcv,2020_01_08__14_15_25,1-8-64
ECFP8-PCNNA,cold target,CI,0.7587005639125931,0.05655396339262615,evalcv,2020_01_08__14_15_25,1-8-64
ECFP8-PCNNA,cold target,R2,0.2563548112052014,0.12659474144392624,evalcv,2020_01_08__14_15_25,1-8-64
ECFP8-PCNNA,warm,RMSE,0.7584752558001356,0.2105019826730135,evalcv,2020_01_08__14_12_00,1-8-64
ECFP8-PCNNA,warm,CI,0.7567209468733103,0.04986259415752579,evalcv,2020_01_08__14_12_00,1-8-64
ECFP8-PCNNA,warm,R2,0.25019935033604057,0.10891017222468218,evalcv,2020_01_08__14_12_00,1-8-64
ECFP8-PSC,cold drug,RMSE,0.3506618501205629,0.16898853345711,evalcv,2020_01_08__01_05_31,1-8-64
ECFP8-PSC,cold drug,CI,0.9287647546096623,0.058524183911789734,evalcv,2020_01_08__01_05_31,1-8-64
ECFP8-PSC,cold drug,R2,0.8141186937470238,0.1576641446959355,evalcv,2020_01_08__01_05_31,1-8-64
ECFP8-PSC,cold target,RMSE,0.26504318208545513,0.133224262166454,evalcv,2020_01_08__01_14_59,1-8-64
ECFP8-PSC,cold target,CI,0.9456721983864323,0.041327953595849926,evalcv,2020_01_08__01_14_59,1-8-64
ECFP8-PSC,cold target,R2,0.881438673747382,0.12643691168954363,evalcv,2020_01_08__01_14_59,1-8-64
ECFP8-PSC,warm,RMSE,0.20578184702707877,0.08432991396143412,evalcv,2020_01_08__01_18_20,1-8-64
ECFP8-PSC,warm,CI,0.9650800612770448,0.022323651492795853,evalcv,2020_01_08__01_18_20,1-8-64
ECFP8-PSC,warm,R2,0.9334140176096581,0.06421126542784313,evalcv,2020_01_08__01_18_20,1-8-64
ECFP8-RNN,cold drug,RMSE,0.5364994516997593,0.17305375396857473,evalcv,2020_01_08__15_55_31,1-8-64
ECFP8-RNN,cold drug,CI,0.8485647375415664,0.06744352708227205,evalcv,2020_01_08__15_55_31,1-8-64
ECFP8-RNN,cold drug,R2,0.6190644655210261,0.2026556448154085,evalcv,2020_01_08__15_55_31,1-8-64
ECFP8-RNN,cold target,RMSE,0.6197113932231909,0.12598854350433517,evalcv,2020_01_08__16_09_10,1-8-64
ECFP8-RNN,cold target,CI,0.8153646553994014,0.059343456550699544,evalcv,2020_01_08__16_09_10,1-8-64
ECFP8-RNN,cold target,R2,0.4423954907137573,0.17212806096576794,evalcv,2020_01_08__16_09_10,1-8-64
ECFP8-RNN,warm,RMSE,0.5956037297433956,0.11135445698234166,evalcv,2020_01_08__15_53_25,1-8-64
ECFP8-RNN,warm,CI,0.8339973702295056,0.04109314394109189,evalcv,2020_01_08__15_53_25,1-8-64
ECFP8-RNN,warm,R2,0.5141227537424631,0.13813174218165017,evalcv,2020_01_08__15_53_25,1-8-64
GraphConv-PCNNA,cold drug,RMSE,0.7544006374241421,0.2172723707543946,evalcv,2020_01_08__15_35_18,1-8-64
GraphConv-PCNNA,cold drug,CI,0.7448420081171537,0.06249502025025851,evalcv,2020_01_08__15_35_18,1-8-64
GraphConv-PCNNA,cold drug,R2,0.21570777505739144,0.129663226899292,evalcv,2020_01_08__15_35_18,1-8-64
GraphConv-PCNNA,cold target,RMSE,0.7518762065743781,0.21787345434470082,evalcv,2020_01_08__15_42_43,1-8-64
GraphConv-PCNNA,cold target,CI,0.7583607970675887,0.05746303053527947,evalcv,2020_01_08__15_42_43,1-8-64
GraphConv-PCNNA,cold target,R2,0.2595286630026685,0.12997978043628017,evalcv,2020_01_08__15_42_43,1-8-64
GraphConv-PCNNA,warm,RMSE,0.7561734148350612,0.20152745697286428,evalcv,2020_01_08__15_27_19,1-8-64
GraphConv-PCNNA,warm,CI,0.7599328361344329,0.04933771695022934,evalcv,2020_01_08__15_27_19,1-8-64
GraphConv-PCNNA,warm,R2,0.2594023483583214,0.1140299078384035,evalcv,2020_01_08__15_27_19,1-8-64
GraphConv-PSC,cold drug,RMSE,0.3832650683211839,0.16517870686871003,evalcv,2020_01_08__02_34_00,1-8-64
GraphConv-PSC,cold drug,CI,0.9086372629525958,0.06240262108935231,evalcv,2020_01_08__02_34_00,1-8-64
GraphConv-PSC,cold drug,R2,0.7569117207204262,0.19363620150935917,evalcv,2020_01_08__02_34_00,1-8-64
GraphConv-PSC,cold target,RMSE,0.3277378923095953,0.11837894670131296,evalcv,2020_01_08__02_23_46,1-8-64
GraphConv-PSC,cold target,CI,0.9303657216354575,0.03821896758966927,evalcv,2020_01_08__02_23_46,1-8-64
GraphConv-PSC,cold target,R2,0.8400659578449639,0.1237962882635212,evalcv,2020_01_08__02_23_46,1-8-64
GraphConv-PSC,warm,RMSE,0.2678473993933823,0.08190526095463302,evalcv,2020_01_08__02_17_10,1-8-64
GraphConv-PSC,warm,CI,0.9455572102178174,0.025262460570769356,evalcv,2020_01_08__02_17_10,1-8-64
GraphConv-PSC,warm,R2,0.8939367669902055,0.06436022310754477,evalcv,2020_01_08__02_17_10,1-8-64
GraphConv-RNN,cold drug,RMSE,0.8530584631977105,0.26104593668892107,evalcv,2020_01_08__17_07_48,1-8-64
GraphConv-RNN,cold drug,CI,0.6302940452229304,0.10992491244070215,evalcv,2020_01_08__17_07_48,1-8-64
GraphConv-RNN,cold drug,R2,0.10283832403313496,0.14805336055179488,evalcv,2020_01_08__17_07_48,1-8-64
GraphConv-RNN,cold target,RMSE,0.7411221737277087,0.1862789327338787,evalcv,2020_01_08__17_18_53,1-8-64
GraphConv-RNN,cold target,CI,0.7408896548227546,0.07107193759241452,evalcv,2020_01_08__17_18_53,1-8-64
GraphConv-RNN,cold target,R2,0.2801730036765852,0.13926234352246397,evalcv,2020_01_08__17_18_53,1-8-64
GraphConv-RNN,warm,RMSE,0.7463529591505873,0.18155201176469984,evalcv,2020_01_08__16_54_11,1-8-64
GraphConv-RNN,warm,CI,0.7715661981849077,0.0527149012184228,evalcv,2020_01_08__16_54_11,1-8-64
GraphConv-RNN,warm,R2,0.34618946526677685,0.13972776217498942,evalcv,2020_01_08__16_54_11,1-8-64
GNN-PSC,cold drug,RMSE,0.6158211483378767,0.14206335634970266,evalcv,2020_01_08__02_11_41,1-8-64
GNN-PSC,cold drug,CI,0.8194107217899401,0.059350675413395095,evalcv,2020_01_08__02_11_41,1-8-64
GNN-PSC,cold drug,R2,0.451400513698497,0.16847656092011765,evalcv,2020_01_08__02_11_41,1-8-64
GNN-PSC,cold target,RMSE,0.257308482571829,0.1592221142111301,evalcv,2020_01_08__02_07_19,1-8-64
GNN-PSC,cold target,CI,0.9545826253145226,0.04438859723223619,evalcv,2020_01_08__02_07_19,1-8-64
